kal_deg targetAngle error 
4.577380656221369 0 -4.577380656221369 
3.7458566937730193 0 -3.7458566937730193 
4.971561607016479 0 -4.971561607016479 
9.487038177617684 0 -9.487038177617684 
4.715945134997107 0 -4.715945134997107 
4.559849931210012 0 -4.559849931210012 
6.87031200379756 0 -6.87031200379756 
3.8048099639021773 0 -3.8048099639021773 
4.92293049691029 0 -4.92293049691029 
6.7400978837776 0 -6.7400978837776 
4.26454112672111 0 -4.26454112672111 
5.2001033868719855 0 -5.2001033868719855 
4.741023274631927 0 -4.741023274631927 
3.8024785671630967 0 -3.8024785671630967 
5.710506287166236 0 -5.710506287166236 
6.081352172599633 0 -6.081352172599633 
4.64364615902513 0 -4.64364615902513 
4.446224731765179 0 -4.446224731765179 
4.207180989687777 0 -4.207180989687777 
3.8280233608801355 0 -3.8280233608801355 
4.795294833442821 0 -4.795294833442821 
5.4164682581198615 0 -5.4164682581198615 
4.862945663432131 0 -4.862945663432131 
5.992691660410101 0 -5.992691660410101 
6.788822447631654 0 -6.788822447631654 
7.208067709453245 0 -7.208067709453245 
6.829303290086077 0 -6.829303290086077 
7.791149743478854 0 -7.791149743478854 
8.886743664315032 0 -8.886743664315032 
9.24856324580193 0 -9.24856324580193 
9.12594474766591 0 -9.12594474766591 
9.527177999092384 0 -9.527177999092384 
9.969196893937761 0 -9.969196893937761 
9.74526631391193 0 -9.74526631391193 
9.336880597111172 0 -9.336880597111172 
9.994884154094619 0 -9.994884154094619 
9.774483984979986 0 -9.774483984979986 
9.225519885826278 0 -9.225519885826278 
9.494703608939977 0 -9.494703608939977 
8.857042054507074 0 -8.857042054507074 
8.077901449826047 0 -8.077901449826047 
6.978450745873434 0 -6.978450745873434 
6.31977909847452 0 -6.31977909847452 
4.909482385726697 0 -4.909482385726697 
4.440374381802933 0 -4.440374381802933 
2.7995529789799196 0 -2.7995529789799196 
2.2202216918812763 0 -2.2202216918812763 
1.9733500010034974 0 -1.9733500010034974 
1.4666598599324636 0 -1.4666598599324636 
1.1814355244461558 0 -1.1814355244461558 
2.0135105429027025 0 -2.0135105429027025 
2.273862068925771 0 -2.273862068925771 
2.038240549067849 0 -2.038240549067849 
2.5653138916631315 0 -2.5653138916631315 
3.4477443077693444 0 -3.4477443077693444 
